thread, ops, rss
1, 988635, 11956
2, 1077988, 14236
4, 2209338, 12398
8, 3898566, 13607
16, 6311720, 16596
24, 6982080, 16845
32, 6673073, 14868
40, 7806229, 18000
48, 6906031, 15245
1, 1064864, 15326
2, 1035138, 14425
4, 2176640, 15801
8, 3517409, 12615
16, 6208514, 15369
24, 6725057, 13354
32, 6856497, 16152
40, 7627425, 19438
48, 7316205, 21946
1, 1035953, 16501
2, 961161, 19666
4, 1972197, 18256
8, 3992846, 21933
16, 6113301, 22326
24, 6692872, 22819
32, 6764776, 19927
40, 6900826, 20664
48, 6722285, 20724
