thread,kops,allocator
1,1157.24,je
1,1157.52,je
1,1147.18,je
2,1247.97,je
2,1304.86,je
2,1301.4,je
4,1579.74,je
4,1586.27,je
4,1562.44,je
6,1691.79,je
6,1699.36,je
6,1594.55,je
10,1789.48,je
10,1787.08,je
10,1785.78,je
16,1712.03,je
16,1696.52,je
16,1714.95,je
20,1704.79,je
20,1710.86,je
20,1698.2,je
24,1676.45,je
24,1650.78,je
24,1697.16,je
32,1633.36,je
32,1660.17,je
32,1636.03,je
40,1674.77,je
40,1655.41,je
40,1665.19,je
48,1204.04,je
48,1209.17,je
48,1234.22,je
62,1060.43,je
62,1074.72,je
62,1047.33,je
72,1034.58,je
72,1036.58,je
72,1019.66,je
80,1049.7,je
80,1011.38,je
80,1021.49,je
84,1018.46,je
84,1034.54,je
84,1014.74,je
88,1031.85,je
88,1044.73,je
88,1039,je
1,865.662,r
1,855.326,r
1,858.101,r
2,1126.29,r
2,1116.94,r
2,1118.5,r
4,1428.96,r
4,1453.06,r
4,1452.8,r
6,1604.66,r
6,1573.79,r
6,1598.39,r
10,1676.51,r
10,1723.1,r
10,1738.63,r
16,1688.31,r
16,1675.24,r
16,1656.13,r
20,1654.27,r
20,1685.03,r
20,1670.09,r
24,1628.6,r
24,1619.47,r
24,1649.43,r
32,1604.3,r
32,1614.41,r
32,1603.42,r
40,1602.53,r
40,1574.94,r
40,1614.03,r
48,966.395,r
48,958.638,r
48,973.322,r
62,707.424,r
62,697.021,r
62,693.356,r
72,637.846,r
72,637.069,r
72,644.561,r
80,613.842,r
80,604.322,r
80,603.973,r
84,612.837,r
84,606.336,r
84,607.173,r
88,612.676,r
88,595.569,r
88,617.409,r
1,795.746,mak
1,799.974,mak
1,798.538,mak
2,1025.5,mak
2,991.506,mak
2,1022.18,mak
4,1261,mak
4,1236.81,mak
4,1253.98,mak
6,1356.76,mak
6,1364.81,mak
6,1360.11,mak
10,1413.58,mak
10,1406.62,mak
10,1389.28,mak
16,1364.6,mak
16,1351.27,mak
16,1367.52,mak
20,1336.36,mak
20,1350.92,mak
20,1339.96,mak
24,1340.63,mak
24,1310.69,mak
24,1342.4,mak
32,1329.34,mak
32,1319.06,mak
32,1321.77,mak
40,1315.81,mak
40,1320.12,mak
40,1313.35,mak
48,960.194,mak
48,960.234,mak
48,956.755,mak
62,755.84,mak
62,750.924,mak
62,756.708,mak
72,696.957,mak
72,684.205,mak
72,682.654,mak
80,663.725,mak
80,655.428,mak
80,662.319,mak
84,648.214,mak
84,663.913,mak
84,647.626,mak
88,658.493,mak
88,658.775,mak
88,641.207,mak
1,852.166,lr
1,851.282,lr
1,833.53,lr
2,1120.24,lr
2,1106.9,lr
2,1085.17,lr
4,1439.79,lr
4,1430.32,lr
4,1457.51,lr
6,1601.85,lr
6,1641.94,lr
6,1580.96,lr
10,1722.76,lr
10,1740.4,lr
10,1742.29,lr
16,1679.8,lr
16,1665.82,lr
16,1680.43,lr
20,1690.02,lr
20,1706.54,lr
20,1653.18,lr
24,1634.48,lr
24,1652.46,lr
24,1633.22,lr
32,1621.21,lr
32,1607.37,lr
32,1598.92,lr
40,1613.06,lr
40,1595.98,lr
40,1590.36,lr
48,963.952,lr
48,967.442,lr
48,958.431,lr
62,701.896,lr
62,709.106,lr
62,701.716,lr
72,623.756,lr
72,648.443,lr
72,631.746,lr
80,607.273,lr
80,602.056,lr
80,606.029,lr
84,604.419,lr
84,606.572,lr
84,601.41,lr
88,609.142,lr
88,602.131,lr
88,612.199,lr
1,429.199,pmdk
1,407.002,pmdk
1,424.746,pmdk
2,655.512,pmdk
2,655.294,pmdk
2,651.978,pmdk
4,1023.05,pmdk
4,1026.72,pmdk
4,993.607,pmdk
6,1298.44,pmdk
6,1297.65,pmdk
6,1296.81,pmdk
10,1521.85,pmdk
10,1548.99,pmdk
10,1551.41,pmdk
16,1549.27,pmdk
16,1559.66,pmdk
16,1560.4,pmdk
20,1519.97,pmdk
20,1552.04,pmdk
20,1539.49,pmdk
24,1501.93,pmdk
24,1484.4,pmdk
24,1500.38,pmdk
32,1474.06,pmdk
32,1453.17,pmdk
32,1482.55,pmdk
40,1417.8,pmdk
40,1423.09,pmdk
40,1429.8,pmdk
48,927.107,pmdk
48,915.388,pmdk
48,937.84,pmdk
62,676.612,pmdk
62,674.8,pmdk
62,675.266,pmdk
72,601.082,pmdk
72,603.739,pmdk
72,600.697,pmdk
80,575.611,pmdk
80,581.18,pmdk
80,574.704,pmdk
84,562.544,pmdk
84,574.058,pmdk
84,591.782,pmdk
88,575.074,pmdk
88,578.351,pmdk
88,578.372,pmdk
